Company,Item,Calories,Calories_from_Fat,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium__mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,Weight_Watchers_Pnts,Calorie_Category,Protein_Ratio,Fat_Calorie_Percent,Health_Score
McDonald’s,Hash Brown,150.0,80.0,9.0,1.5,0.0,0.0,310.0,15.0,2.0,0.0,1.0,150.5,Baja,0.006666666666666667,53.333333333333336,3
McDonald’s,Grape Jam,35.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,44.0,Baja,0.0,0.0,3
McDonald’s,Strawberry Preserves,35.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,44.0,Baja,0.0,0.0,3
McDonald’s,"Bacon, Egg & Cheese Bagel",560.0,240.0,27.0,9.0,0.5,260.0,1300.0,56.0,3.0,7.0,24.0,552.0,Media,0.04285714285714286,42.857142857142854,0
McDonald’s,Fruit & Maple Oatmeal,290.0,40.0,4.5,2.0,0.0,10.0,160.0,57.0,5.0,32.0,5.0,319.0,Baja,0.017241379310344827,13.793103448275861,3
McDonald’s,Fruit & Maple Oatmeal without Brown Sugar,260.0,40.0,4.5,2.0,0.0,10.0,115.0,48.0,5.0,18.0,5.0,275.0,Baja,0.019230769230769232,15.384615384615385,3
McDonald’s,Hamburger Happy Meal,475.0,0.0,16.0,5.5,0.0,40.0,690.0,62.0,2.0,20.0,22.0,0.0,Media,0.04631578947368421,0.0,3
McDonald’s,4 Piece Chicken McNuggets Happy Meal,395.0,0.0,17.0,3.5,0.0,35.0,510.0,41.0,1.0,14.0,19.0,0.0,Media,0.04810126582278481,0.0,3
McDonald’s,6 Piece Chicken McNuggets® Happy Meal,475.0,0.0,22.0,4.5,0.0,50.0,680.0,46.0,2.0,14.0,24.0,0.0,Media,0.05052631578947368,0.0,2
McDonald’s,Fruit ‘n Yogurt Parfait (7 oz),160.0,20.0,2.0,1.0,0.0,5.0,85.0,31.0,1.0,21.0,4.0,178.0,Baja,0.025,12.5,3
